team1,team2,outcome,sd
COL,CRC,0.34839999999999993,1.806827798487386
RUS,SRB,0.7917000000000003,1.649500271483634
KSA,SRB,-0.44269999999999987,1.9402169220270582
EGY,SRB,-0.6692000000000004,1.9491890142837833
POR,SRB,0.33770000000000006,1.6746436820447845
ESP,SRB,0.6518666666666666,1.5546275811442207
MAR,SRB,-0.5353000000000004,1.819878366535085
IRN,SRB,-0.12793333333333332,1.9900749491597578
FRA,SRB,0.23160000000000006,1.4694405420324748
AUS,SRB,-0.5822666666666666,1.836033711752727
PER,SRB,-0.7107333333333331,1.3588598227239645
DEN,SRB,0.21213333333333334,1.3777943222370956
ARG,SRB,0.5326000000000001,1.7565161682175119
ISL,SRB,-0.28906666666666675,1.8865508649675995
CRO,SRB,0.3177333333333333,1.4397716919880388
NGA,SRB,-0.3284000000000001,1.9798537469966744
BRA,SRB,0.5991666666666665,1.7537217081564904
CRC,SRB,-0.30200000000000005,2.0284909541583382
GER,SRB,1.1386666666666672,1.7783334413281386
MEX,SRB,-0.2195666666666667,1.8027218871486554
KOR,SRB,-0.2011,1.9185370070404313
BEL,SRB,0.30453333333333343,1.6815350500937625
PAN,SRB,-0.47966666666666696,1.7338194619162937
ENG,SRB,1.4319333333333328,1.905568267169057
POL,SRB,0.03233333333333331,1.5890679821459939
SEN,SRB,-0.6306999999999998,1.8083643887263752
COL,SRB,0.06236666666666666,1.6079305721276957
JPN,SRB,-0.3973,1.792307388503183
EGY,GER,-1.4052666666666667,2.3126497703159696
ESP,GER,0.5918666666666667,1.7985286992637235
FRA,GER,0.5036666666666668,1.5950585084921647
AUS,GER,-0.8114666666666667,1.896235434245606
DEN,GER,-0.5849333333333335,2.017920354281496
ARG,GER,0.6236333333333333,1.5937422225306974
CRO,GER,-0.12896666666666665,2.0867194496814645
BRA,GER,0.6683000000000003,1.8262860541281605
CRC,GER,-0.992833333333333,2.0438167485322505
BEL,GER,-0.1200666666666667,1.8472799805804498
ENG,GER,0.7569000000000001,2.1884444936843175
COL,GER,-0.3306666666666664,2.075451784873303
RUS,SWE,0.6570333333333335,1.6155132547126638
KSA,SWE,-0.423,2.10585115976963
EGY,SWE,-0.9179333333333329,2.04753099167737
POR,SWE,0.5172333333333332,1.491373625787482
ESP,SWE,0.7376666666666668,1.600025084695368
MAR,SWE,-0.7548333333333337,1.8643398738479333
IRN,SWE,-0.11576666666666674,2.0247152942907203
FRA,SWE,0.5896333333333337,1.2932333266261022
AUS,SWE,-0.3822000000000002,2.041110504320715
PER,SWE,-0.8111333333333332,1.4553621107140862
DEN,SWE,0.4621333333333334,1.3619292837217463
ARG,SWE,0.6831666666666669,1.61138770477954
ISL,SWE,-0.5283666666666667,1.8610240424370161
CRO,SWE,0.5072666666666668,1.5081362784952397
NGA,SWE,-0.42080000000000023,2.027991500405784
BRA,SWE,0.7271333333333334,1.6558524925779396
SUI,SWE,0.49883333333333324,1.3223980746280617
CRC,SWE,-0.5290333333333334,2.0018389060534707
SRB,SWE,0.12096666666666664,1.5096368456354958
GER,SWE,0.8970666666666671,1.7134071421399348
MEX,SWE,0.0315,1.9394564414113094
KOR,SWE,-0.054799999999999974,2.0212606501632746
BEL,SWE,0.5255333333333335,1.495712064627298
PAN,SWE,-0.8640666666666668,1.720708000550188
ENG,SWE,0.9856000000000004,1.9017343676201872
POL,SWE,0.13576666666666667,1.4563133432658697
SEN,SWE,-0.5701333333333334,1.8738945925826358
COL,SWE,0.15163333333333331,1.517331440193209
JPN,SWE,-0.19490000000000007,2.1024344370837307
KSA,MEX,-0.4873666666666668,1.7907587247553036
EGY,MEX,-1.2283000000000002,1.7083852490604405
ESP,MEX,0.7961333333333335,1.8965089821314522
MAR,MEX,-0.4584,1.626532299497703
IRN,MEX,-0.25066666666666665,1.517842959615937
FRA,MEX,0.35476666666666673,1.4232287608698364
AUS,MEX,-0.6407000000000002,1.6202424348726925
DEN,MEX,-0.24980000000000008,1.555505004268155
ARG,MEX,0.8738333333333332,1.824062389735543
ISL,MEX,-0.7634666666666666,1.958736483751992
CRO,MEX,-0.029300000000000003,1.740819626353791
BRA,MEX,0.5595666666666668,1.7396041477120678
CRC,MEX,-0.30199999999999994,1.7134006911114068
GER,MEX,1.1879666666666668,2.337118834758827
KOR,MEX,-0.4164666666666666,1.7074792459045687
BEL,MEX,0.0931666666666667,1.652229209768461
ENG,MEX,1.1557666666666673,2.386813298778148
COL,MEX,-0.16416666666666666,1.6149159563212108
JPN,MEX,-0.8381666666666668,1.599307658532262
EGY,KOR,-1.1181000000000003,1.7464388332569012
ESP,KOR,0.8004999999999997,1.982438281446905
IRN,KOR,0.006133333333333322,1.6714850669696844
FRA,KOR,0.4625000000000002,1.5404455435760214
AUS,KOR,-0.42256666666666676,1.628399761664746
DEN,KOR,0.006133333333333344,1.6101413821590582
ARG,KOR,0.9057333333333334,2.0053467319831237
ISL,KOR,-0.8458333333333333,1.962051998824747
CRO,KOR,0.17659999999999992,1.7378945420603318
BRA,KOR,0.6428000000000001,1.6787379631629815
CRC,KOR,-0.3733,1.7130021653203886
GER,KOR,1.235233333333333,2.44177720971504
BEL,KOR,0.06326666666666664,1.6896813102786734
ENG,KOR,1.396133333333334,2.5133240007693924
COL,KOR,-3.666666666666711e-4,1.6096891893624927
JPN,KOR,-0.5755000000000001,1.6158062206895265
AUS,BEL,-0.8919000000000001,1.9156893767631413
ARG,BEL,0.9249333333333333,1.846321725619795
KSA,PAN,0.5148666666666665,1.5998062271328959
EGY,PAN,0.012866666666666655,1.7794257640816413
ESP,PAN,1.0636666666666668,1.883651169378302
MAR,PAN,0.05513333333333335,1.6769586314558687
IRN,PAN,0.7409999999999999,1.8825450434372157
FRA,PAN,1.0150333333333326,1.7313626003870908
AUS,PAN,0.7052333333333333,1.724549596387003
DEN,PAN,0.7309999999999999,1.88168938838299
ARG,PAN,1.1742000000000004,2.012332807130398
ISL,PAN,-0.5014999999999998,2.021675152981234
CRO,PAN,0.9655999999999999,1.8480507752169593
NGA,PAN,0.8171000000000004,1.7631660567092107
BRA,PAN,1.177366666666667,1.9241687453862883
CRC,PAN,0.5158333333333333,1.9018123746559665
GER,PAN,1.6284000000000003,2.099162999742484
MEX,PAN,0.7990666666666666,1.5529510253409629
KOR,PAN,0.9446,1.7720876848674987
BEL,PAN,0.8890999999999997,1.8006655821203505
ENG,PAN,1.6075,2.149048889116108
COL,PAN,0.575,1.760993873091088
JPN,PAN,0.6625333333333331,1.747893927536621
